Alpha,degree,betweenness,closeness
0.0,1.0,0.011252782837482295,1.0
0.06315789473684211,1.0,0.010436483842676925,1.0
0.12631578947368421,0.992599338865277,0.010186871753356273,1.0
0.18947368421052632,0.9642245159549351,0.010085677663091144,1.0
0.25263157894736843,0.7822505565674968,0.009984483572826015,0.9974094312892128
0.3157894736842105,0.48821426162045484,0.009923767118666937,0.9703906091884232
0.37894736842105264,0.10890507994333132,0.009923767118666937,0.8831815421979357
0.4421052631578948,0.026033866288875395,0.009923767118666937,0.7466707144302773
0.5052631578947369,0.011367469473116103,0.009917020845982593,0.5434190109964245
0.5684210526315789,0.010456722660729946,0.009917020845982593,0.3182284287930918
0.631578947368421,0.01018012548067193,0.009917020845982593,0.10476961478782972
0.6947368421052632,0.01007218511772246,0.009917020845982593,0.06666666666666667
0.7578947368421053,0.00994400593671996,0.009917020845982593,0.01939553396748296
0.8210526315789474,0.009917020845982593,0.009917020845982593,0.016393442622950817
0.8842105263157896,0.009917020845982593,0.009917020845982593,0.015793024354044387
0.9473684210526316,0.009917020845982593,0.009917020845982593,0.013182216825204072
1.0105263157894737,0.009917020845982593,0.009917020845982593,0.013040545098832892
1.0736842105263158,0.009917020845982593,0.009917020845982593,0.012979828644673815
1.1368421052631579,0.009917020845982593,0.009917020845982593,0.012905619645146053
1.2,0.009917020845982593,0.009917020845982593,0.012817918100249608
