Total_Capacity,degree,betweenness,closeness
13200.0,1.0,0.8530661809350334,1.0
15066.666666666666,1.0,0.8530661809350334,0.9953450718478041
16933.333333333332,0.9993928354584092,0.8530661809350334,0.9091277069419146
18800.0,0.9838089455575795,0.8538757336571544,0.6846792147338595
20666.666666666668,0.9477838494231937,0.8536733454766242,0.6403562031977332
22533.333333333336,0.8621736490588949,0.8526614045739729,0.5670916818457802
24400.0,0.8427443837279903,0.8520542400323821,0.2906294272414491
26266.666666666668,0.6506780004047764,0.848006476421777,0.1916616069621534
28133.333333333336,0.010321797207043109,0.8478040882412468,0.010524185387573366
30000.0,0.010321797207043109,0.8310058692572354,0.010524185387573366
